[Sample Definition]	
Type	Time
Use Buffer	FALSE
delta	0.0000000025
start	-0.0000010250
nsample	1620.0000000000
nframes	1.000000
nAnalog	4.000000
nDigitalSets	0.000000
ChScale A 	1.000000
ChOffset A 	0.000000
ChScale B 	1.000000
ChOffset B 	0.000000
ChScale C 	1.000000
ChOffset C 	0.000000
ChScale D 	1.000000
ChOffset D 	0.000000
TriggerTime	46106.249552666	3/24/2026 9:59:21 AM
[Data]
Time	Chan A	Chan B	Chan C	Chan D
-0.0000010250 	 0.0068502226 	 -0.0268297158 	 0.0082851313 	 0.1300600320
-0.0000010225 	 0.0067455191 	 -0.0262002796 	 0.0021098778 	 0.1362313330
-0.0000010200 	 0.0064314087 	 -0.0247315951 	 0.0082851313 	 0.1310885847
-0.0000010175 	 0.0066408156 	 -0.0226334743 	 0.0093143396 	 0.1331456751
-0.0000010150 	 0.0065361122 	 -0.0203255415 	 0.0072559211 	 0.1280029416
-0.0000010125 	 0.0062220017 	 -0.0174930803 	 0.0031390861 	 0.1300600320
-0.0000010100 	 0.0063267052 	 -0.0151851475 	 0.0010806676 	 0.1300600320
-0.0000010075 	 0.0060125948 	 -0.0124575906 	 0.0082851313 	 0.1259458363
-0.0000010050 	 0.0061172983 	 -0.0098349396 	 0.0021098778 	 0.1228601858
-0.0000010025 	 0.0059078913 	 -0.0071073836 	 0.0072559211 	 0.1300600320
-0.0000010000 	 0.0060125948 	 -0.0050092628 	 0.0051975045 	 0.1166888848
-0.0000009975 	 0.0058031878 	 -0.0019669880 	 0.0062267128 	 0.1310885847
-0.0000009950 	 0.0064314087 	 -0.0007081155 	 0.0062267128 	 0.1238887236
-0.0000009925 	 0.0066408156 	 0.0018096289 	 0.0113727581 	 0.1331456751
-0.0000009900 	 0.0067455191 	 0.0038028434 	 0.0072559211 	 0.1290314794
-0.0000009875 	 0.0064314087 	 0.0041175615 	 0.0093143396 	 0.1290314794
-0.0000009850 	 0.0071643326 	 0.0048519038 	 0.0051975045 	 0.1372598708
-0.0000009825 	 0.0061172983 	 0.0056911521 	 0.0051975045 	 0.1403455287
-0.0000009800 	 0.0065361122 	 0.0057960581 	 0.0062267128 	 0.1300600320
-0.0000009775 	 0.0066408156 	 0.0062156823 	 0.0072559211 	 0.1331456751
-0.0000009750 	 0.0069549256 	 0.0063205883 	 0.0021098778 	 0.1280029416
-0.0000009725 	 0.0072690360 	 0.0062156823 	 0.0041682944 	 0.1321171373
-0.0000009700 	 0.0076878499 	 0.0064254943 	 0.0062267128 	 0.1177174374
-0.0000009675 	 0.0068502226 	 0.0069500236 	 0.0010806676 	 0.1321171373
-0.0000009650 	 0.0072690360 	 0.0067402124 	 0.0093143396 	 0.1187459826
-0.0000009625 	 0.0069549256 	 0.0072647417 	 0.0093143396 	 0.1218316332
-0.0000009600 	 0.0067455191 	 0.0073696477 	 0.0072559211 	 0.1300600320
-0.0000009575 	 0.0067455191 	 0.0079990840 	 0.0103435479 	 0.1310885847
-0.0000009550 	 0.0066408156 	 0.0090481443 	 0.0031390861 	 0.1300600320
-0.0000009525 	 0.0077925529 	 0.0090481443 	 0.0072559211 	 0.1352027804
-0.0000009500 	 0.0071643326 	 0.0107266409 	 0.0103435479 	 0.1259458363
-0.0000009475 	 0.0070596291 	 0.0119855125 	 0.0021098778 	 0.1352027804
-0.0000009450 	 0.0071643326 	 0.0130345728 	 0.0062267128 	 0.1310885847
-0.0000009425 	 0.0067455191 	 0.0146081634 	 0.0072559211 	 0.1331456751
-0.0000009400 	 0.0073737400 	 0.0151326936 	 0.0082851313 	 0.1259458363
-0.0000009375 	 0.0072690360 	 0.0159719419 	 0.0051975045 	 0.1259458363
-0.0000009350 	 0.0066408156 	 0.0175455324 	 0.0093143396 	 0.1290314794
-0.0000009325 	 0.0067455191 	 0.0172308143 	 0.0082851313 	 0.1290314794
-0.0000009300 	 0.0066408156 	 0.0166013781 	 0.0103435479 	 0.1300600320
-0.0000009275 	 0.0064314087 	 0.0178602505 	 0.0051975045 	 0.1238887236
-0.0000009250 	 0.0068502226 	 0.0175455324 	 0.0051975045 	 0.1259458363
-0.0000009225 	 0.0068502226 	 0.0166013781 	 0.0031390861 	 0.1331456751
-0.0000009200 	 0.0066408156 	 0.0152375996 	 0.0082851313 	 0.1341742277
-0.0000009175 	 0.0063267052 	 0.0143983513 	 0.0062267128 	 0.1290314794
-0.0000009150 	 0.0062220017 	 0.0125100426 	 0.0051975045 	 0.1341742277
-0.0000009125 	 0.0065361122 	 0.0110413590 	 0.0082851313 	 0.1280029416
-0.0000009100 	 0.0063267052 	 0.0086285202 	 0.0021098778 	 0.1310885847
-0.0000009075 	 0.0064314087 	 0.0061107762 	 0.0062267128 	 0.1290314794
-0.0000009050 	 0.0069549256 	 0.0041175615 	 0.0062267128 	 0.1290314794
-0.0000009025 	 0.0067455191 	 0.0014949108 	 0.0010806676 	 0.1280029416
-0.0000009000 	 0.0069549256 	 -0.0008130216 	 0.0113727581 	 0.1269743890
-0.0000008975 	 0.0070596291 	 -0.0031209539 	 0.0082851313 	 0.1280029416
-0.0000008950 	 0.0068502226 	 -0.0059534172 	 0.0134311765 	 0.1228601858
-0.0000008925 	 0.0067455191 	 -0.0079466319 	 0.0051975045 	 0.1290314794
-0.0000008900 	 0.0074784430 	 -0.0094153155 	 0.0051975045 	 0.1321171373
-0.0000008875 	 0.0069549256 	 -0.0120379664 	 0.0062267128 	 0.1238887236
-0.0000008850 	 0.0078972569 	 -0.0125624966 	 0.0124019664 	 0.1321171373
-0.0000008825 	 0.0074784430 	 -0.0145557113 	 0.0062267128 	 0.1310885847
-0.0000008800 	 0.0078972569 	 -0.0150802415 	 0.0031390861 	 0.1269743890
-0.0000008775 	 0.0071643326 	 -0.0144508053 	 0.0082851313 	 0.1269743890
-0.0000008750 	 0.0070596291 	 -0.0156047717 	 0.0093143396 	 0.1249172762
-0.0000008725 	 0.0070596291 	 -0.0151851475 	 0.0082851313 	 0.1228601858
-0.0000008700 	 0.0073737400 	 -0.0144508053 	 0.0051975045 	 0.1280029416
-0.0000008675 	 0.0070596291 	 -0.0135066509 	 0.0072559211 	 0.1321171373
-0.0000008650 	 0.0069549256 	 -0.0122477785 	 0.0072559211 	 0.1280029416
-0.0000008625 	 0.0066408156 	 -0.0117232483 	 0.0082851313 	 0.1290314794
-0.0000008600 	 0.0069549256 	 -0.0098349396 	 0.0093143396 	 0.1290314794
-0.0000008575 	 0.0060125948 	 -0.0088907853 	 0.0072559211 	 0.1290314794
-0.0000008550 	 0.0067455191 	 -0.0076319138 	 0.0051975045 	 0.1341742277
-0.0000008525 	 0.0061172983 	 -0.0068975715 	 0.0062267128 	 0.1341742277
-0.0000008500 	 0.0065361122 	 -0.0057436051 	 0.0072559211 	 0.1280029416
-0.0000008475 	 0.0072690360 	 -0.0042749206 	 0.0031390861 	 0.1321171373
-0.0000008450 	 0.0074784430 	 -0.0032258600 	 0.0072559211 	 0.1238887236
-0.0000008425 	 0.0068502226 	 -0.0022817061 	 0.0021098778 	 0.1218316332
-0.0000008400 	 0.0070596291 	 -0.0028062363 	 0.0093143396 	 0.1310885847
-0.0000008375 	 0.0069549256 	 -0.0025964242 	 0.0051975045 	 0.1177174374
-0.0000008350 	 0.0069549256 	 -0.0034356720 	 0.0113727581 	 0.1290314794
-0.0000008325 	 0.0066408156 	 -0.0029111423 	 0.0072559211 	 0.1269743890
-0.0000008300 	 0.0067455191 	 -0.0037503901 	 0.0093143396 	 0.1259458363
-0.0000008275 	 0.0066408156 	 -0.0044847326 	 0.0082851313 	 0.1280029416
-0.0000008250 	 0.0062220017 	 -0.0040651085 	 0.0041682944 	 0.1280029416
-0.0000008225 	 0.0068502226 	 -0.0042749206 	 0.0093143396 	 0.1341742277
-0.0000008200 	 0.0067455191 	 -0.0050092628 	 0.0113727581 	 0.1341742277
-0.0000008175 	 0.0069549256 	 -0.0051141689 	 0.0062267128 	 0.1310885847
-0.0000008150 	 0.0068502226 	 -0.0046945447 	 0.0093143396 	 0.1300600320
-0.0000008125 	 0.0070596291 	 -0.0037503901 	 0.0021098778 	 0.1269743890
-0.0000008100 	 0.0068502226 	 -0.0035405781 	 0.0082851313 	 0.1269743890
-0.0000008075 	 0.0069549256 	 -0.0035405781 	 0.0051975045 	 0.1259458363
-0.0000008050 	 0.0063267052 	 -0.0015473638 	 0.0093143396 	 0.1238887236
-0.0000008025 	 0.0062220017 	 0.0001311325 	 0.0093143396 	 0.1208030805
-0.0000008000 	 0.0063267052 	 0.0023341591 	 0.0062267128 	 0.1187459826
-0.0000007975 	 0.0056984844 	 0.0042224675 	 0.0082851313 	 0.1259458363
-0.0000007950 	 0.0062220017 	 0.0071598357 	 0.0093143396 	 0.1228601858
-0.0000007925 	 0.0062220017 	 0.0086285202 	 0.0082851313 	 0.1352027804
-0.0000007900 	 0.0063267052 	 0.0106217349 	 0.0062267128 	 0.1269743890
-0.0000007875 	 0.0062220017 	 0.0143983513 	 0.0051975045 	 0.1321171373
-0.0000007850 	 0.0066408156 	 0.0153425056 	 0.0082851313 	 0.1352027804
-0.0000007825 	 0.0062220017 	 0.0173357204 	 0.0041682944 	 0.1372598708
-0.0000007800 	 0.0064314087 	 0.0180700626 	 0.0072559211 	 0.1331456751
-0.0000007775 	 0.0059078913 	 0.0191191230 	 0.0072559211 	 0.1310885847
-0.0000007750 	 0.0063267052 	 0.0195387471 	 0.0051975045 	 0.1228601858
-0.0000007725 	 0.0060125948 	 0.0194338411 	 0.0082851313 	 0.1331456751
-0.0000007700 	 0.0065361122 	 0.0189093109 	 0.0093143396 	 0.1228601858
-0.0000007675 	 0.0062220017 	 0.0169160962 	 0.0093143396 	 0.1362313330
-0.0000007650 	 0.0064314087 	 0.0153425056 	 0.0062267128 	 0.1228601858
-0.0000007625 	 0.0065361122 	 0.0117757013 	 0.0062267128 	 0.1166888848
-0.0000007600 	 0.0068502226 	 0.0096775806 	 0.0072559211 	 0.1249172762
-0.0000007575 	 0.0065361122 	 0.0068451185 	 0.0082851313 	 0.1382884234
-0.0000007550 	 0.0067455191 	 0.0023341591 	 0.0041682944 	 0.1290314794
-0.0000007525 	 0.0064314087 	 -0.0015473638 	 0.0062267128 	 0.1321171373
-0.0000007500 	 0.0064314087 	 -0.0042749206 	 0.0093143396 	 0.1228601858
-0.0000007475 	 0.0061172983 	 -0.0082613491 	 0.0041682944 	 0.1352027804
-0.0000007450 	 0.0070596291 	 -0.0118281543 	 0.0093143396 	 0.1352027804
-0.0000007425 	 0.0070596291 	 -0.0146606173 	 0.0041682944 	 0.1280029416
