# Fit: 0.7527159574949019*E^(-0.00022738127034411235*x - 7.804545403220781e-23*x^2)
Time [us],Contrast,Error
11.2,0.768,0.009
101.2,0.724,0.008
201.2,0.713,0.019
501.2,0.681,0.014
751.2,0.604,0.012
1001.2,0.608,0.024
1501.2,0.535,0.035
2001.2,0.486,0.015
2501.2,0.419,0.015
3001.2,0.453,0.027
3501.2,0.348,0.009
4001.2,0.307,0.009
5001.2,0.216,0.012
7001.2,0.138,0.01
