[Sample Definition]	
Type	Time
Use Buffer	FALSE
delta	0.0000000025
start	-0.0000010250
nsample	1620.0000000000
nframes	1.000000
nAnalog	4.000000
nDigitalSets	0.000000
ChScale A 	1.000000
ChOffset A 	0.000000
ChScale B 	1.000000
ChOffset B 	0.000000
ChScale C 	1.000000
ChOffset C 	0.000000
ChScale D 	1.000000
ChOffset D 	0.000000
TriggerTime	46106.249316556	3/24/2026 9:59:00 AM
[Data]
Time	Chan A	Chan B	Chan C	Chan D
-0.0000008600 	 0.0064314087 	 -0.0077368198 	 0.0051975045 	 0.1238887236
-0.0000008575 	 0.0073737400 	 -0.0073171956 	 0.0093143396 	 0.1208030805
-0.0000008550 	 0.0071643326 	 -0.0076319138 	 0.0082851313 	 0.1269743890
-0.0000008525 	 0.0065361122 	 -0.0066877594 	 0.0031390861 	 0.1300600320
-0.0000008500 	 0.0069549256 	 -0.0049043568 	 0.0072559211 	 0.1228601858
-0.0000008475 	 0.0065361122 	 -0.0031209539 	 0.0072559211 	 0.1269743890
-0.0000008450 	 0.0062220017 	 -0.0017571759 	 0.0051975045 	 0.1280029416
-0.0000008425 	 0.0062220017 	 0.0010752868 	 0.0062267128 	 0.1290314794
-0.0000008400 	 0.0061172983 	 0.0027537830 	 0.0010806676 	 0.1372598708
-0.0000008375 	 0.0062220017 	 0.0062156823 	 0.0082851313 	 0.1310885847
-0.0000008350 	 0.0067455191 	 0.0090481443 	 0.0051975045 	 0.1300600320
-0.0000008325 	 0.0056984844 	 0.0110413590 	 0.0082851313 	 0.1269743890
-0.0000008300 	 0.0062220017 	 0.0141885392 	 0.0103435479 	 0.1238887236
-0.0000008275 	 0.0064314087 	 0.0156572238 	 0.0072559211 	 0.1341742277
-0.0000008250 	 0.0065361122 	 0.0180700626 	 0.0051975045 	 0.1238887236
-0.0000008225 	 0.0065361122 	 0.0173357204 	 0.0072559211 	 0.1269743890
-0.0000008200 	 0.0062220017 	 0.0194338411 	 0.0093143396 	 0.1228601858
-0.0000008175 	 0.0069549256 	 0.0186994988 	 0.0051975045 	 0.1352027804
-0.0000008150 	 0.0064314087 	 0.0186994988 	 0.0093143396 	 0.1382884234
-0.0000008125 	 0.0071643326 	 0.0172308143 	 0.0072559211 	 0.1331456751
-0.0000008100 	 0.0073737400 	 0.0152375996 	 0.0062267128 	 0.1331456751
-0.0000008075 	 0.0069549256 	 0.0127198547 	 0.0082851313 	 0.1352027804
-0.0000008050 	 0.0077925529 	 0.0099922987 	 0.0041682944 	 0.1280029416
-0.0000008025 	 0.0072690360 	 0.0071598357 	 0.0103435479 	 0.1372598708
-0.0000008000 	 0.0076878499 	 0.0033832192 	 0.0072559211 	 0.1218316332
-0.0000007975 	 0.0080019599 	 -0.0001835856 	 0.0062267128 	 0.1238887236
-0.0000007950 	 0.0074784430 	 -0.0041700145 	 0.0103435479 	 0.1197745278
-0.0000007925 	 0.0072690360 	 -0.0071073836 	 0.0093143396 	 0.1238887236
-0.0000007900 	 0.0075831460 	 -0.0109889060 	 0.0041682944 	 0.1228601858
-0.0000007875 	 0.0068502226 	 -0.0144508053 	 0.0134311765 	 0.1310885847
-0.0000007850 	 0.0069549256 	 -0.0163391139 	 0.0072559211 	 0.1249172762
-0.0000007825 	 0.0063267052 	 -0.0193813872 	 0.0062267128 	 0.1280029416
-0.0000007800 	 0.0066408156 	 -0.0209549777 	 0.0072559211 	 0.1321171373
-0.0000007775 	 0.0071643326 	 -0.0215844139 	 0.0051975045 	 0.1372598708
-0.0000007750 	 0.0061172983 	 -0.0230530985 	 0.0113727581 	 0.1321171373
-0.0000007725 	 0.0063267052 	 -0.0223187562 	 0.0062267128 	 0.1321171373
-0.0000007700 	 0.0066408156 	 -0.0221089441 	 0.0093143396 	 0.1331456751
-0.0000007675 	 0.0064314087 	 -0.0208500717 	 0.0062267128 	 0.1310885847
