# Fit: 0.5792354133002966*E^(-0.000246839797956054*x - 3.3859890852751344e-22*x^2)
Time [us],Contrast,Error
11.2,0.591,0.013
101.2,0.555,0.022
201.2,0.523,0.018
501.2,0.511,0.014
751.2,0.495,0.021
1001.2,0.444,0.014
1501.2,0.387,0.018
2001.2,0.373,0.016
2501.2,0.297,0.017
3001.2,0.302,0.019
3501.2,0.244,0.012
4001.2,0.215,0.022
5001.2,0.151,0.019
7001.2,0.075,0.015
